"alpha","omega","k_opt","instability_min","stabk"
0,0,6,NA,"NA;0.1127;0.1159;0.1198;0.1143;0.1065"
0.2,0,6,NA,"NA;0.1094;0.1211;0.1134;0.1173;0.1049"
0.4,0,6,NA,"NA;0.1126;0.1191;0.1171;0.1092;0.1063"
0.6,0,6,NA,"NA;0.1193;0.1134;0.1146;0.1101;0.1072"
0.8,0,2,NA,"NA;0.1029;0.1203;0.1161;0.1152;0.1045"
1,0,6,NA,"NA;0.1162;0.1291;0.1203;0.119;0.1035"
0,0.2,2,NA,"NA;0.0886;0.1009;0.109;0.092;0.0932"
0.2,0.2,6,NA,"NA;0.0976;0.0881;0.0951;0.0877;0.0844"
0.4,0.2,6,NA,"NA;0.1057;0.0926;0.0998;0.0883;0.0869"
0.6,0.2,3,NA,"NA;0.1013;0.0874;0.0923;0.0903;0.0883"
0.8,0.2,3,NA,"NA;0.09;0.086;0.094;0.0956;0.0876"
1,0.2,3,NA,"NA;0.0892;0.0849;0.0959;0.0916;0.0906"
0,0.4,6,NA,"NA;0.0962;0.0753;0.0811;0.0754;0.0751"
0.2,0.4,3,NA,"NA;0.0839;0.0703;0.0847;0.0729;0.0718"
0.4,0.4,3,NA,"NA;0.0864;0.0581;0.0745;0.0782;0.0734"
0.6,0.4,3,NA,"NA;0.0939;0.0666;0.0774;0.0739;0.0688"
0.8,0.4,3,NA,"NA;0.0885;0.0568;0.0733;0.0754;0.0712"
1,0.4,3,NA,"NA;0.0881;0.0538;0.0623;0.0696;0.0732"
0,0.6,3,NA,"NA;0.081;0.0501;0.0651;0.0652;0.0627"
0.2,0.6,3,NA,"NA;0.0714;0.0536;0.064;0.0643;0.067"
0.4,0.6,3,NA,"NA;0.0891;0.0391;0.0551;0.0587;0.0638"
0.6,0.6,3,NA,"NA;0.092;0.0318;0.0566;0.0573;0.0654"
0.8,0.6,3,NA,"NA;0.0878;0.0283;0.0545;0.0654;0.0724"
1,0.6,3,NA,"NA;0.0833;0.0249;0.0486;0.0627;0.0653"
0,0.8,3,NA,"NA;0.0732;0.0371;0.0588;0.0664;0.064"
0.2,0.8,3,NA,"NA;0.0646;0.0311;0.0608;0.0642;0.0593"
0.4,0.8,3,NA,"NA;0.0505;0.0269;0.0538;0.0649;0.0602"
0.6,0.8,3,NA,"NA;0.0627;0.0225;0.0552;0.0589;0.0587"
0.8,0.8,3,NA,"NA;0.056;0.0166;0.0428;0.0589;0.0672"
1,0.8,3,NA,"NA;0.0643;0.0172;0.0451;0.0607;0.0699"
0,1,3,NA,"NA;0.0526;0.0385;0.068;0.0634;0.0493"
0.2,1,3,NA,"NA;0.0475;0.0313;0.0622;0.0681;0.0524"
0.4,1,3,NA,"NA;0.0479;0.0259;0.0598;0.0616;0.0508"
0.6,1,3,NA,"NA;0.0391;0.0248;0.0605;0.0586;0.0549"
0.8,1,3,NA,"NA;0.0358;0.0221;0.0567;0.065;0.0621"
1,1,3,NA,"NA;0.0461;0.0216;0.0529;0.0697;0.064"
